feature_names,feature_importance
complaints_complaints_weekend_n_duration_nb_1m,33.0
voice_destination_type_national_duration_sum_value_1_3,32.0
voice_call_direction_ic_duration_sum_value_1_3,31.0
complaints_complaints_weekend_n_total_nb_2m,31.0
complaints_complaints_complaint_status_resolu_total_nb_3w,31.0
payement_payment_mode_especes_perc_paid_sum_3m,30.0
complaints_complaints_complaint_type_info_duration_nb_3m,30.0
complaints_complaints_workingh_y_total_value_1_3w_3_4w,30.0
complaints_complaints_weekend_n_duration_nb_2w,30.0
payement_payment_way_internet_perc_paid_sum_1m,29.0
data_workingh_y_duration_sum_value_1_3w,29.0
payement_payment_mode_cb_perc_paid_sum_value_0_1,29.0
complaints_complaints_weekend_n_total_value_1_3w_3_4w,29.0
voice_destination_type_international_duration_sum_value_0_1,29.0
complaints_complaints_weekend_n_total_value_0_1m_1_3m,29.0
complaints_complaints_complaint_status_resolu_total_nb_2w,28.0
voice_weekend_n_duration_sum_value_0_1,27.0
complaints_complaints_complaint_type_info_total_value_0_1m_1_2m,27.0
complaints_complaints_workingh_y_total_nb_3w,27.0
complaints_complaints_complaint_type_reclamation_total_sum_value_0_1,27.0
complaints_complaints_workingh_y_total_value_1_2m_2_3m,26.0
voice_call_direction_oc_duration_sum_value_0_1,26.0
complaints_complaints_complaint_status_resolu_duration_nb_2m,26.0
voice_weekend_n_duration_sum_value_1_3w,26.0
complaints_complaints_workingh_y_total_value_0_1w_1_2w,25.0
complaints_complaints_weekend_n_total_sum_value_1_3w,25.0
complaints_complaints_complaint_status_resolu_total_value_0_1m_1_2m,24.0
payement_payment_way_crm_pay_delay_could_sum_3m,24.0
complaints_complaints_workingh_y_duration_nb_2m,24.0
payement_payment_mode_na_open_amount_sum_2m,24.0
data_workingh_n_volume_sum_1m,24.0
complaints_complaints_complaint_type_reclamation_total_nb_2m,24.0
complaints_complaints_complaint_type_info_total_value_1_2m_2_3m,23.0
payement_payment_way_internet_perc_paid_sum_value_0_1,23.0
data_workingh_n_volume_sum_value_0_1,23.0
voice_workingh_n_duration_sum_value_0_1,23.0
voice_destination_type_national_duration_sum_value_3_4w,23.0
complaints_complaints_workingh_y_total_sum_value_1_3,23.0
voice_destination_type_international_duration_value_1_2m_2_3m,22.0
voice_call_direction_oc_duration_sum_value_1_2w,21.0
payement_payment_mode_cb_open_amount_nb_2m,21.0
complaints_complaints_weekend_n_total_sum_value_0_1w,21.0
payement_payment_way_internet_perc_paid_nb_3m,21.0
complaints_complaints_complaint_status_resolu_total_nb_2m,20.0
voice_call_direction_oc_duration_sum_value_1_3w,20.0
complaints_complaints_weekend_n_duration_nb_3w,20.0
payement_payment_mode_na_open_amount_sum_value_2_3,19.0
voice_destination_type_international_duration_sum_value_1_3w,19.0
voice_call_direction_ic_duration_value_1_2m_2_3m,19.0
complaints_complaints_complaint_status_resolu_total_sum_value_1_2,19.0
payement_payment_way_na_perc_paid_nb_2m,18.0
payement_payment_way_crm_perc_paid_value_0_1m_1_2m,18.0
complaints_complaints_complaint_status_resolu_total_value_1_3w_3_4w,18.0
voice_destination_type_national_duration_sum_value_1_2,18.0
complaints_complaints_weekend_n_total_sum_value_1_3,17.0
complaints_complaints_workingh_y_total_sum_value_1_2w,17.0
voice_call_direction_ic_duration_nb_3m,17.0
payement_payment_mode_especes_perc_paid_sum_value_2_3,16.0
complaints_complaints_weekend_n_total_nb_3w,16.0
complaints_complaints_workingh_y_total_nb_2w,16.0
complaints_complaints_weekend_n_duration_value_0_1m_1_3m,15.0
complaints_complaints_complaint_status_resolu_total_sum_value_1_3,15.0
complaints_complaints_weekend_n_total_value_0_1w_1_2w,15.0
payement_payment_mode_na_open_amount_sum_value_1_3,15.0
payement_payment_way_crm_pay_delay_should_sum_2m,15.0
complaints_complaints_workingh_y_total_nb_1m,15.0
payement_payment_way_ussd_perc_paid_sum_value_1_3,14.0
payement_payment_mode_especes_perc_paid_sum_value_1_3,14.0
complaints_complaints_complaint_type_info_total_sum_value_1_3,14.0
payement_payment_way_crm_pay_delay_should_sum_3m,14.0
complaints_complaints_weekend_n_total_value_1_2m_2_3m,14.0
complaints_complaints_complaint_type_info_total_value_0_1m_1_3m,14.0
payement_payment_way_crm_pay_delay_could_sum_value_1_3,13.0
complaints_complaints_weekend_n_total_nb_1m,13.0
voice_call_direction_ic_duration_value_0_1m_1_3m,13.0
payement_payment_way_internet_perc_paid_nb_1m,13.0
complaints_complaints_workingh_y_duration_nb_1m,13.0
complaints_complaints_weekend_n_total_sum_value_3_4w,12.0
payement_payment_mode_na_open_amount_sum_value_1_2,12.0
payement_payment_mode_na_open_amount_sum_1m,12.0
complaints_complaints_workingh_y_duration_nb_3w,12.0
payement_payment_way_na_perc_paid_nb_1m,11.0
complaints_complaints_workingh_y_total_sum_value_1_2,11.0
complaints_complaints_complaint_status_resolu_total_nb_1m,11.0
payement_payment_mode_especes_perc_paid_nb_2m,10.0
payement_payment_way_ussd_perc_paid_sum_value_2_3,10.0
voice_destination_type_national_duration_sum_value_1_2w,10.0
payement_payment_mode_especes_perc_paid_sum_value_1_2,10.0
payement_payment_mode_especes_perc_paid_sum_1m,10.0
complaints_complaints_workingh_y_total_sum_value_3_4w,10.0
payement_payment_way_ussd_perc_paid_nb_3m,10.0
voice_destination_type_international_duration_value_0_1m_1_2m,10.0
voice_destination_type_national_duration_sum_value_1_3w,9.0
complaints_complaints_complaint_type_reclamation_total_nb_3w,9.0
complaints_complaints_complaint_status_resolu_total_sum_value_3_4w,9.0
payement_payment_way_ussd_perc_paid_sum_3m,9.0
complaints_complaints_weekend_n_total_sum_value_1_2,9.0
payement_payment_way_ussd_perc_paid_sum_2m,9.0
complaints_complaints_complaint_type_retention_total_nb_3w,8.0
complaints_complaints_complaint_type_info_total_nb_3m,8.0
voice_destination_type_national_duration_sum_value_0_1,8.0
